0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16.0,8.0,8.0,11.0,4.0,2.0,0.0,1.0,3.0,2.0,0.19716312056737587,1.39,5.22,7.05,1.0
14.0,9.0,9.0,11.0,3.0,2.0,1.0,3.0,1.0,2.0,0.5813953488372093,2.0,3.78,3.44,0.0
5.0,8.0,11.0,10.0,0.0,3.0,3.0,1.0,3.0,2.0,0.29541284403669726,1.61,4.03,5.45,-1.0
2.0,13.0,9.0,5.0,1.0,0.0,5.0,4.0,1.0,1.0,12.31404958677686,14.9,6.52,1.21,-1.0
11.0,8.0,6.0,8.0,3.0,2.0,1.0,0.0,4.0,2.0,0.1517553793884485,1.34,5.11,8.83,1.0
6.0,25.0,11.0,10.0,0.0,0.0,6.0,4.0,0.0,2.0,5.45985401459854,7.48,5.26,1.37,1.0
8.0,11.0,6.0,11.0,2.0,2.0,2.0,2.0,0.0,4.0,0.6717325227963525,2.21,3.4,3.29,1.0
11.0,15.0,7.0,12.0,1.0,2.0,3.0,2.0,0.0,4.0,0.3923766816143498,1.75,3.91,4.46,1.0
4.0,11.0,9.0,1.0,0.0,2.0,4.0,5.0,1.0,0.0,7.664179104477611,10.27,4.79,1.34,-1.0
12.0,3.0,12.0,18.0,5.0,0.0,1.0,3.0,0.0,3.0,0.052434456928838954,1.12,9.1,21.36,1.0
6.0,7.0,8.0,7.0,1.0,3.0,2.0,3.0,1.0,2.0,0.930795847750865,2.69,2.99,2.89,1.0
8.0,9.0,6.0,8.0,2.0,1.0,3.0,2.0,1.0,3.0,0.7880794701986754,2.38,3.27,3.02,0.0
1.0,7.0,6.0,8.0,0.0,1.0,5.0,0.0,5.0,1.0,1.084942084942085,2.81,3.21,2.59,-1.0
5.0,10.0,6.0,12.0,1.0,1.0,4.0,1.0,1.0,4.0,1.1472868217054264,2.96,3.05,2.58,-1.0
14.0,11.0,13.0,5.0,2.0,1.0,3.0,5.0,1.0,0.0,2.935672514619883,5.02,3.7,1.71,-1.0
8.0,13.0,10.0,13.0,2.0,0.0,4.0,0.0,3.0,3.0,0.7225806451612904,2.24,3.52,3.1,0.0
9.0,13.0,11.0,11.0,3.0,0.0,3.0,1.0,3.0,2.0,0.559228650137741,2.03,3.5,3.63,0.0
13.0,11.0,5.0,11.0,2.0,2.0,2.0,2.0,0.0,4.0,0.1059322033898305,1.25,6.08,11.8,1.0
16.0,9.0,17.0,8.0,4.0,0.0,2.0,4.0,1.0,1.0,3.8980891719745223,6.12,4.03,1.57,1.0
7.0,7.0,11.0,8.0,2.0,1.0,3.0,3.0,1.0,2.0,2.01025641025641,3.92,3.53,1.95,-1.0
11.0,8.0,4.0,6.0,3.0,1.0,2.0,1.0,2.0,3.0,0.9571428571428573,2.68,3.08,2.8,-1.0
10.0,10.0,5.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0038167938931297,2.63,3.43,2.62,-1.0
4.0,15.0,7.0,5.0,0.0,0.0,6.0,2.0,2.0,2.0,6.932330827067669,9.22,5.32,1.33,0.0
15.0,7.0,9.0,11.0,4.0,1.0,1.0,3.0,1.0,2.0,0.17302798982188294,1.36,5.14,7.86,1.0
7.0,9.0,7.0,7.0,0.0,5.0,1.0,2.0,2.0,2.0,0.6848484848484848,2.26,3.28,3.3,1.0
12.0,5.0,8.0,7.0,5.0,0.0,1.0,3.0,1.0,2.0,0.2687074829931973,1.58,4.02,5.88,1.0
11.0,10.0,7.0,11.0,2.0,2.0,2.0,2.0,0.0,4.0,0.1350210970464135,1.28,5.88,9.48,1.0
11.0,5.0,6.0,8.0,3.0,2.0,1.0,2.0,2.0,2.0,0.19915848527349228,1.42,4.81,7.13,1.0
14.0,10.0,10.0,10.0,4.0,1.0,1.0,3.0,0.0,3.0,0.10459183673469388,1.23,6.52,11.76,-1.0
15.0,5.0,9.0,10.0,5.0,1.0,0.0,1.0,3.0,2.0,0.09111617312072892,1.2,7.12,13.17,1.0
10.0,6.0,15.0,5.0,4.0,1.0,1.0,5.0,1.0,0.0,4.157534246575342,6.07,4.92,1.46,0.0
3.0,14.0,10.0,11.0,1.0,0.0,5.0,1.0,4.0,1.0,0.5146666666666666,1.93,3.72,3.75,1.0
4.0,8.0,17.0,8.0,1.0,2.0,3.0,4.0,0.0,2.0,2.166666666666667,4.16,3.47,1.92,-1.0
10.0,4.0,10.0,8.0,4.0,0.0,2.0,2.0,1.0,3.0,0.34615384615384615,1.71,3.81,4.94,1.0
8.0,8.0,5.0,9.0,3.0,1.0,2.0,1.0,2.0,3.0,0.22887864823348694,1.49,4.43,6.51,0.0
9.0,11.0,13.0,5.0,3.0,1.0,2.0,5.0,1.0,0.0,5.211267605633803,7.4,4.75,1.42,0.0
9.0,6.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.233160621761658,4.31,3.31,1.93,-1.0
6.0,12.0,5.0,4.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0750988142292492,2.72,3.45,2.53,-1.0
10.0,9.0,8.0,12.0,2.0,1.0,3.0,2.0,0.0,4.0,1.8507462686567167,3.72,3.5,2.01,0.0
8.0,14.0,12.0,6.0,0.0,1.0,5.0,4.0,0.0,2.0,1.1921568627450982,3.04,2.99,2.55,-1.0
13.0,9.0,4.0,8.0,4.0,1.0,1.0,0.0,2.0,4.0,0.6595744680851063,2.17,3.45,3.29,0.0
11.0,8.0,4.0,9.0,2.0,2.0,2.0,2.0,0.0,4.0,0.27622377622377625,1.58,4.12,5.72,1.0
7.0,8.0,22.0,7.0,2.0,2.0,2.0,5.0,0.0,1.0,3.222222222222222,5.22,4.06,1.62,0.0
8.0,6.0,11.0,10.0,3.0,0.0,3.0,3.0,1.0,2.0,0.3760683760683761,1.76,3.65,4.68,0.0
9.0,6.0,6.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,0.2804878048780488,1.61,3.89,5.74,0.0
6.0,10.0,5.0,9.0,1.0,1.0,4.0,1.0,2.0,3.0,0.29304029304029305,1.6,4.07,5.46,-1.0
12.0,5.0,9.0,14.0,4.0,1.0,1.0,2.0,1.0,3.0,0.31968810916179335,1.64,4.03,5.13,1.0
9.0,7.0,10.0,7.0,4.0,1.0,1.0,2.0,3.0,1.0,0.4157549234135667,1.9,3.27,4.57,0.0
6.0,2.0,9.0,5.0,2.0,4.0,0.0,2.0,2.0,2.0,0.8951048951048952,2.56,3.2,2.86,0.0
6.0,6.0,5.0,11.0,3.0,1.0,2.0,1.0,1.0,4.0,0.07281858129315756,1.16,7.77,15.93,1.0
4.0,10.0,10.0,4.0,2.0,1.0,3.0,3.0,3.0,0.0,1.45662100456621,3.19,3.56,2.19,1.0
5.0,10.0,15.0,6.0,2.0,2.0,2.0,3.0,2.0,1.0,4.815068493150685,7.03,4.41,1.46,-1.0
12.0,5.0,10.0,9.0,4.0,2.0,0.0,3.0,2.0,1.0,0.28545780969479356,1.59,4.11,5.57,1.0
8.0,4.0,12.0,8.0,3.0,3.0,0.0,2.0,2.0,2.0,0.9025270758122743,2.5,3.39,2.77,-1.0
14.0,5.0,10.0,7.0,3.0,3.0,0.0,3.0,2.0,1.0,0.6046511627906977,2.08,3.6,3.44,1.0
10.0,4.0,12.0,12.0,4.0,1.0,1.0,2.0,2.0,2.0,0.5091863517060368,1.94,3.64,3.81,0.0
13.0,1.0,11.0,17.0,5.0,1.0,0.0,1.0,2.0,3.0,0.10607356715141146,1.24,6.24,11.69,1.0
4.0,11.0,10.0,3.0,2.0,0.0,4.0,4.0,1.0,1.0,4.405405405405405,6.52,4.39,1.48,0.0
12.0,5.0,9.0,8.0,3.0,1.0,2.0,1.0,3.0,2.0,0.755700325732899,2.32,3.38,3.07,1.0
4.0,7.0,8.0,12.0,1.0,1.0,4.0,1.0,3.0,2.0,0.5573333333333333,2.09,3.29,3.75,1.0
11.0,11.0,5.0,12.0,2.0,2.0,2.0,0.0,2.0,4.0,0.2736842105263158,1.56,4.19,5.7,1.0
16.0,9.0,14.0,6.0,4.0,0.0,2.0,4.0,1.0,1.0,1.8578680203045685,3.66,3.7,1.97,-1.0
5.0,17.0,6.0,8.0,1.0,1.0,4.0,0.0,4.0,2.0,4.026143790849673,6.16,4.22,1.53,0.0
3.0,10.0,5.0,9.0,0.0,3.0,3.0,2.0,0.0,4.0,0.7452229299363057,2.34,3.25,3.14,-1.0
1.0,16.0,12.0,2.0,0.0,0.0,6.0,5.0,1.0,0.0,7.953488372093023,10.26,5.77,1.29,-1.0
11.0,4.0,17.0,7.0,3.0,2.0,1.0,4.0,2.0,0.0,2.9820359281437128,4.98,4.0,1.67,-1.0
4.0,7.0,5.0,7.0,0.0,4.0,2.0,2.0,1.0,3.0,0.0971690895179801,1.27,5.47,13.07,0.0
10.0,13.0,8.0,7.0,2.0,2.0,2.0,3.0,0.0,3.0,0.42823529411764705,1.82,3.71,4.25,1.0
10.0,3.0,8.0,12.0,5.0,1.0,0.0,2.0,0.0,4.0,0.0749682337992376,1.18,7.1,15.74,1.0
6.0,12.0,4.0,11.0,2.0,0.0,4.0,1.0,3.0,2.0,1.118320610687023,2.93,3.05,2.62,1.0
13.0,7.0,9.0,7.0,4.0,0.0,2.0,3.0,2.0,1.0,0.9884169884169884,2.56,3.61,2.59,-1.0
12.0,8.0,12.0,15.0,2.0,3.0,1.0,1.0,2.0,3.0,0.13646055437100213,1.28,6.09,9.38,1.0
9.0,6.0,9.0,13.0,3.0,1.0,2.0,1.0,3.0,2.0,0.3807439824945295,1.74,3.92,4.57,1.0
9.0,8.0,18.0,6.0,2.0,3.0,1.0,4.0,2.0,0.0,4.448275862068966,6.45,4.88,1.45,-1.0
19.0,9.0,5.0,9.0,5.0,0.0,1.0,2.0,0.0,4.0,0.11061552185548616,1.24,6.47,11.21,1.0
5.0,6.0,11.0,12.0,1.0,4.0,1.0,2.0,2.0,2.0,0.2295839753466872,1.49,4.5,6.49,1.0
8.0,17.0,12.0,6.0,1.0,1.0,4.0,4.0,1.0,1.0,2.696629213483146,4.8,3.54,1.78,0.0
7.0,12.0,4.0,7.0,1.0,1.0,4.0,0.0,3.0,3.0,0.9007352941176471,2.45,3.6,2.72,1.0
10.0,8.0,10.0,8.0,3.0,1.0,2.0,3.0,1.0,2.0,0.21198830409356725,1.45,4.54,6.84,0.0
