homeTeam,awayTeam,league,result,odds,date
Inter,Udinese,Serie A,5:1,"['1.46', '4.72', '6.36']",2021-05-23
Cagliari,Genoa,Serie A,0:1,"['1.85', '3.87', '4.00']",2021-05-22
Crotone,Fiorentina,Serie A,0:0,"['3.68', '4.20', '1.84']",2021-05-22
Sampdoria,Parma,Serie A,3:0,"['1.66', '4.44', '4.42']",2021-05-22
Lazio,Torino,Serie A,0:0,"['2.29', '3.21', '3.25']",2021-05-18
Verona,Bologna,Serie A,2:2,"['2.13', '3.64', '3.25']",2021-05-17
AC Milan,Cagliari,Serie A,0:0,"['1.31', '5.71', '9.07']",2021-05-16
Benevento,Crotone,Serie A,1:1,"['1.37', '5.42', '7.36']",2021-05-16
Fiorentina,Napoli,Serie A,0:2,"['6.45', '4.88', '1.45']",2021-05-16
Parma,Sassuolo,Serie A,1:3,"['6.39', '4.95', '1.43']",2021-05-16
Udinese,Sampdoria,Serie A,0:1,"['2.39', '3.45', '2.91']",2021-05-16
Spezia,Torino,Serie A,4:1,"['3.15', '2.96', '2.50']",2021-05-15
Juventus,Inter,Serie A,3:2,"['2.08', '3.66', '3.34']",2021-05-15
Genoa,Atalanta,Serie A,3:4,"['14.22', '7.80', '1.17']",2021-05-15
AS Roma,Lazio,Serie A,2:0,"['3.29', '3.93', '2.03']",2021-05-15
Crotone,Verona,Serie A,2:1,"['3.84', '3.85', '1.88']",2021-05-13
Atalanta,Benevento,Serie A,2:0,"['1.15', '8.32', '15.42']",2021-05-12
Bologna,Genoa,Serie A,0:2,"['2.16', '3.36', '3.41']",2021-05-12
Cagliari,Fiorentina,Serie A,0:0,"['2.32', '3.13', '3.29']",2021-05-12
Inter,AS Roma,Serie A,3:1,"['1.62', '4.42', '4.82']",2021-05-12
Lazio,Parma,Serie A,1:0,"['1.28', '6.00', '9.75']",2021-05-12
Sampdoria,Spezia,Serie A,2:2,"['2.54', '3.45', '2.70']",2021-05-12
Torino,AC Milan,Serie A,0:7,"['4.62', '3.99', '1.71']",2021-05-12
Sassuolo,Juventus,Serie A,1:3,"['4.65', '4.34', '1.65']",2021-05-12
Napoli,Udinese,Serie A,5:1,"['1.35', '5.30', '8.08']",2021-05-11
AS Roma,Crotone,Serie A,5:0,"['1.40', '5.31', '6.70']",2021-05-09
Benevento,Cagliari,Serie A,1:3,"['2.86', '3.26', '2.52']",2021-05-09
Genoa,Sassuolo,Serie A,1:2,"['3.61', '3.64', '2.00']",2021-05-09
Juventus,AC Milan,Serie A,0:3,"['1.75', '3.92', '4.41']",2021-05-09
Parma,Atalanta,Serie A,2:5,"['13.52', '7.60', '1.18']",2021-05-09
Verona,Torino,Serie A,1:1,"['2.91', '3.35', '2.43']",2021-05-09
Fiorentina,Lazio,Serie A,2:0,"['4.00', '3.82', '1.85']",2021-05-08
Inter,Sampdoria,Serie A,5:1,"['1.47', '4.63', '6.49']",2021-05-08
Udinese,Bologna,Serie A,1:1,"['2.40', '3.15', '3.15']",2021-05-08
Spezia,Napoli,Serie A,1:4,"['6.04', '4.50', '1.50']",2021-05-08
Torino,Parma,Serie A,1:0,"['1.63', '4.10', '5.15']",2021-05-03
Bologna,Fiorentina,Serie A,3:3,"['2.89', '3.25', '2.51']",2021-05-02
Lazio,Genoa,Serie A,4:3,"['1.46', '4.68', '6.53']",2021-05-02
Napoli,Cagliari,Serie A,1:1,"['1.34', '5.24', '8.62']",2021-05-02
Sampdoria,AS Roma,Serie A,2:0,"['3.05', '3.60', '2.24']",2021-05-02
Sassuolo,Atalanta,Serie A,1:1,"['6.07', '4.92', '1.46']",2021-05-02
Udinese,Juventus,Serie A,1:2,"['7.48', '4.73', '1.41']",2021-05-02
AC Milan,Benevento,Serie A,2:0,"['1.35', '5.28', '8.02']",2021-05-01
Crotone,Inter,Serie A,0:2,"['11.87', '6.66', '1.23']",2021-05-01
Verona,Spezia,Serie A,1:1,"['2.07', '3.46', '3.58']",2021-05-01
Torino,Napoli,Serie A,0:2,"['3.70', '3.76', '1.94']",2021-04-26
Lazio,AC Milan,Serie A,3:0,"['2.32', '3.55', '2.96']",2021-04-26
Cagliari,AS Roma,Serie A,3:2,"['3.28', '3.62', '2.11']",2021-04-25
Inter,Verona,Serie A,1:0,"['1.29', '5.47', '10.45']",2021-04-25
Fiorentina,Juventus,Serie A,1:1,"['5.41', '3.95', '1.63']",2021-04-25
Benevento,Udinese,Serie A,2:4,"['3.33', '3.24', '2.25']",2021-04-25
Atalanta,Bologna,Serie A,5:0,"['1.23', '6.69', '10.95']",2021-04-25
Genoa,Spezia,Serie A,2:0,"['2.40', '3.06', '3.23']",2021-04-24
Parma,Crotone,Serie A,3:4,"['1.93', '3.65', '3.87']",2021-04-24
Sassuolo,Sampdoria,Serie A,1:0,"['1.98', '3.75', '3.56']",2021-04-24
AS Roma,Atalanta,Serie A,1:1,"['4.28', '4.16', '1.73']",2021-04-22
Napoli,Lazio,Serie A,5:2,"['2.06', '3.65', '3.41']",2021-04-22
Spezia,Inter,Serie A,1:1,"['9.70', '5.58', '1.30']",2021-04-21
Crotone,Sampdoria,Serie A,0:1,"['3.13', '3.53', '2.22']",2021-04-21
Juventus,Parma,Serie A,3:1,"['1.25', '6.13', '11.10']",2021-04-21
