homeTeam,awayTeam,league,result,odds,date
Arsenal,West Ham,Premier League,2:0,"['2.08', '3.56', '3.53']",2021-12-15
Brighton,Wolves,Premier League,0:1,"['2.06', '3.18', '4.17']",2021-12-15
Crystal Palace,Southampton,Premier League,2:2,"['2.07', '3.37', '3.76']",2021-12-15
Norwich,Aston Villa,Premier League,0:2,"['3.69', '3.36', '2.10']",2021-12-14
Manchester City,Leeds,Premier League,7:0,"['1.14', '8.97', '17.12']",2021-12-14
Burnley,West Ham,Premier League,0:0,"['3.41', '3.43', '2.15']",2021-12-12
Crystal Palace,Everton,Premier League,3:1,"['2.23', '3.19', '3.55']",2021-12-12
Leicester,Newcastle,Premier League,4:0,"['1.73', '3.97', '4.60']",2021-12-12
Arsenal,Southampton,Premier League,3:0,"['1.75', '3.86', '4.69']",2021-12-11
Chelsea,Leeds,Premier League,3:2,"['1.23', '6.51', '12.62']",2021-12-11
Liverpool,Aston Villa,Premier League,1:0,"['1.23', '6.66', '11.68']",2021-12-11
Manchester City,Wolves,Premier League,1:0,"['1.16', '7.68', '17.83']",2021-12-11
Norwich,Manchester Utd,Premier League,0:1,"['7.24', '4.83', '1.43']",2021-12-11
Brentford,Watford,Premier League,2:1,"['2.51', '3.30', '2.89']",2021-12-10
Everton,Arsenal,Premier League,2:1,"['3.49', '3.41', '2.14']",2021-12-06
Aston Villa,Leicester,Premier League,2:1,"['2.23', '3.42', '3.25']",2021-12-05
Leeds,Brentford,Premier League,2:2,"['1.82', '3.49', '4.75']",2021-12-05
Manchester Utd,Crystal Palace,Premier League,1:0,"['1.52', '4.42', '6.41']",2021-12-05
Tottenham,Norwich,Premier League,3:0,"['1.45', '4.48', '7.44']",2021-12-05
Watford,Manchester City,Premier League,1:3,"['13.39', '7.03', '1.21']",2021-12-04
West Ham,Chelsea,Premier League,3:2,"['4.82', '3.64', '1.79']",2021-12-04
Wolves,Liverpool,Premier League,0:1,"['8.37', '5.01', '1.38']",2021-12-04
Southampton,Brighton,Premier League,1:1,"['2.53', '3.15', '2.98']",2021-12-04
Newcastle,Burnley,Premier League,1:0,"['2.34', '3.42', '3.05']",2021-12-04
Tottenham,Brentford,Premier League,2:0,"['1.65', '3.90', '5.48']",2021-12-02
Manchester Utd,Arsenal,Premier League,3:2,"['2.08', '3.61', '3.43']",2021-12-02
Aston Villa,Manchester City,Premier League,1:2,"['7.31', '4.61', '1.45']",2021-12-01
West Ham,Brighton,Premier League,1:1,"['1.98', '3.42', '4.10']",2021-12-01
Wolves,Burnley,Premier League,0:0,"['1.93', '3.36', '4.34']",2021-12-01
Everton,Liverpool,Premier League,1:4,"['8.46', '5.12', '1.36']",2021-12-01
Watford,Chelsea,Premier League,1:2,"['9.73', '5.33', '1.33']",2021-12-01
Southampton,Leicester,Premier League,2:2,"['2.33', '3.44', '3.09']",2021-12-01
Leeds,Crystal Palace,Premier League,1:0,"['2.24', '3.32', '3.32']",2021-11-30
Newcastle,Norwich,Premier League,1:1,"['2.09', '3.49', '3.56']",2021-11-30
Brentford,Everton,Premier League,1:0,"['2.23', '3.23', '3.49']",2021-11-28
Chelsea,Manchester Utd,Premier League,1:1,"['1.55', '4.15', '6.23']",2021-11-28
Leicester,Watford,Premier League,4:2,"['1.69', '3.86', '5.14']",2021-11-28
Manchester City,West Ham,Premier League,2:1,"['1.27', '6.12', '10.67']",2021-11-28
Liverpool,Southampton,Premier League,4:0,"['1.25', '6.48', '11.24']",2021-11-27
Norwich,Wolves,Premier League,0:0,"['3.57', '3.28', '2.17']",2021-11-27
Brighton,Leeds,Premier League,0:0,"['2.17', '3.33', '3.52']",2021-11-27
Crystal Palace,Aston Villa,Premier League,1:2,"['2.31', '3.22', '3.32']",2021-11-27
Arsenal,Newcastle,Premier League,2:0,"['1.50', '4.50', '6.21']",2021-11-27
Manchester City,Everton,Premier League,3:0,"['1.20', '7.02', '14.18']",2021-11-21
Tottenham,Leeds,Premier League,2:1,"['1.59', '4.03', '5.80']",2021-11-21
Newcastle,Brentford,Premier League,3:3,"['2.47', '3.39', '2.90']",2021-11-20
Wolves,West Ham,Premier League,1:0,"['3.14', '3.24', '2.40']",2021-11-20
Watford,Manchester Utd,Premier League,4:1,"['6.44', '4.56', '1.49']",2021-11-20
Norwich,Southampton,Premier League,2:1,"['3.54', '3.44', '2.12']",2021-11-20
Burnley,Crystal Palace,Premier League,3:3,"['2.83', '3.18', '2.67']",2021-11-20
Liverpool,Arsenal,Premier League,4:0,"['1.52', '4.69', '5.86']",2021-11-20
Leicester,Chelsea,Premier League,0:3,"['4.90', '3.68', '1.75']",2021-11-20
Aston Villa,Brighton,Premier League,2:0,"['2.46', '3.29', '2.99']",2021-11-20
Arsenal,Watford,Premier League,1:0,"['1.44', '4.71', '7.05']",2021-11-07
Everton,Tottenham,Premier League,0:0,"['3.38', '3.28', '2.24']",2021-11-07
Leeds,Leicester,Premier League,1:1,"['2.65', '3.45', '2.64']",2021-11-07
West Ham,Liverpool,Premier League,3:2,"['4.44', '4.19', '1.72']",2021-11-07
Brentford,Norwich,Premier League,1:2,"['1.64', '3.94', '5.53']",2021-11-06
Brighton,Newcastle,Premier League,1:1,"['1.60', '4.07', '5.77']",2021-11-06
Chelsea,Burnley,Premier League,1:1,"['1.27', '5.65', '12.48']",2021-11-06
Crystal Palace,Wolves,Premier League,2:0,"['2.33', '3.11', '3.37']",2021-11-06
Manchester Utd,Manchester City,Premier League,0:2,"['4.66', '4.11', '1.70']",2021-11-06
Southampton,Aston Villa,Premier League,1:0,"['2.05', '3.63', '3.53']",2021-11-05
Wolves,Everton,Premier League,2:1,"['2.22', '3.18', '3.55']",2021-11-01
Aston Villa,West Ham,Premier League,1:4,"['2.96', '3.48', '2.37']",2021-10-31
Norwich,Leeds,Premier League,1:2,"['3.58', '3.63', '2.03']",2021-10-31
Burnley,Brentford,Premier League,3:1,"['2.61', '3.14', '2.88']",2021-10-30
Leicester,Arsenal,Premier League,0:2,"['2.49', '3.48', '2.78']",2021-10-30
Liverpool,Brighton,Premier League,2:2,"['1.27', '6.10', '10.46']",2021-10-30
Manchester City,Crystal Palace,Premier League,0:2,"['1.14', '8.59', '19.53']",2021-10-30
Newcastle,Chelsea,Premier League,0:3,"['7.85', '4.52', '1.43']",2021-10-30
Tottenham,Manchester Utd,Premier League,0:3,"['3.11', '3.58', '2.25']",2021-10-30
Watford,Southampton,Premier League,0:1,"['3.22', '3.44', '2.24']",2021-10-30
Brentford,Leicester,Premier League,1:2,"['2.77', '3.39', '2.57']",2021-10-24
Manchester Utd,Liverpool,Premier League,0:5,"['2.95', '3.58', '2.34']",2021-10-24
West Ham,Tottenham,Premier League,1:0,"['2.28', '3.49', '3.12']",2021-10-24
Brighton,Manchester City,Premier League,1:4,"['8.28', '4.83', '1.40']",2021-10-23
Chelsea,Norwich,Premier League,7:0,"['1.22', '6.49', '14.45']",2021-10-23
Crystal Palace,Newcastle,Premier League,1:1,"['1.90', '3.52', '4.24']",2021-10-23
Everton,Watford,Premier League,2:5,"['1.79', '3.59', '4.81']",2021-10-23
Leeds,Wolves,Premier League,1:1,"['2.42', '3.38', '2.95']",2021-10-23
Southampton,Burnley,Premier League,2:2,"['1.96', '3.59', '3.91']",2021-10-23
Arsenal,Aston Villa,Premier League,3:1,"['1.96', '3.63', '3.88']",2021-10-22
Arsenal,Crystal Palace,Premier League,2:2,"['1.60', '4.00', '5.84']",2021-10-18
Newcastle,Tottenham,Premier League,2:3,"['3.53', '3.61', '2.06']",2021-10-17
Everton,West Ham,Premier League,0:1,"['2.83', '3.27', '2.59']",2021-10-17
Manchester City,Burnley,Premier League,2:0,"['1.14', '8.99', '18.89']",2021-10-16
Watford,Liverpool,Premier League,0:5,"['8.53', '5.54', '1.34']",2021-10-16
Norwich,Brighton,Premier League,0:0,"['3.99', '3.47', '1.98']",2021-10-16
Southampton,Leeds,Premier League,1:0,"['2.14', '3.57', '3.34']",2021-10-16
Leicester,Manchester Utd,Premier League,4:2,"['3.65', '3.73', '1.99']",2021-10-16
Brentford,Chelsea,Premier League,0:1,"['5.59', '3.83', '1.65']",2021-10-16
Aston Villa,Wolves,Premier League,2:3,"['2.12', '3.20', '3.83']",2021-10-16
Crystal Palace,Leicester,Premier League,2:2,"['2.81', '3.24', '2.62']",2021-10-03
Liverpool,Manchester City,Premier League,2:2,"['2.98', '3.56', '2.33']",2021-10-03
Tottenham,Aston Villa,Premier League,2:1,"['2.08', '3.43', '3.67']",2021-10-03
West Ham,Brentford,Premier League,1:2,"['1.77', '3.71', '4.80']",2021-10-03
Wolves,Newcastle,Premier League,2:1,"['1.76', '3.71', '4.78']",2021-10-02
Manchester Utd,Everton,Premier League,1:1,"['1.54', '4.21', '6.48']",2021-10-02
Leeds,Watford,Premier League,1:0,"['1.75', '3.94', '4.58']",2021-10-02
Chelsea,Southampton,Premier League,3:1,"['1.42', '4.71', '7.95']",2021-10-02
Burnley,Norwich,Premier League,0:0,"['1.95', '3.55', '3.99']",2021-10-02
Brighton,Arsenal,Premier League,0:0,"['3.25', '3.27', '2.32']",2021-10-02
Crystal Palace,Brighton,Premier League,1:1,"['2.87', '3.08', '2.69']",2021-09-27
Southampton,Wolves,Premier League,0:1,"['2.18', '3.29', '3.53']",2021-09-26
Arsenal,Tottenham,Premier League,3:1,"['2.19', '3.37', '3.44']",2021-09-26
Brentford,Liverpool,Premier League,3:3,"['7.60', '4.96', '1.40']",2021-09-25
Chelsea,Manchester City,Premier League,0:1,"['2.89', '3.16', '2.61']",2021-09-25
Everton,Norwich,Premier League,2:0,"['1.68', '3.77', '5.45']",2021-09-25
Leeds,West Ham,Premier League,1:2,"['2.93', '3.58', '2.36']",2021-09-25
Leicester,Burnley,Premier League,2:2,"['1.67', '3.87', '5.33']",2021-09-25
Manchester Utd,Aston Villa,Premier League,0:1,"['1.40', '5.00', '7.82']",2021-09-25
Watford,Newcastle,Premier League,1:1,"['2.11', '3.46', '3.53']",2021-09-25
Brighton,Leicester,Premier League,2:1,"['2.49', '3.21', '3.00']",2021-09-19
Tottenham,Chelsea,Premier League,0:3,"['4.16', '3.41', '1.96']",2021-09-19
West Ham,Manchester Utd,Premier League,1:2,"['4.37', '3.76', '1.81']",2021-09-19
Manchester City,Southampton,Premier League,0:0,"['1.17', '8.00', '15.91']",2021-09-18
Norwich,Watford,Premier League,1:3,"['2.28', '3.29', '3.32']",2021-09-18
Wolves,Brentford,Premier League,0:2,"['1.81', '3.34', '5.11']",2021-09-18
Liverpool,Crystal Palace,Premier League,3:0,"['1.28', '6.04', '10.61']",2021-09-18
Burnley,Arsenal,Premier League,0:1,"['3.75', '3.61', '2.00']",2021-09-18
Aston Villa,Everton,Premier League,3:0,"['2.16', '3.36', '3.52']",2021-09-18
Newcastle,Leeds,Premier League,1:1,"['3.07', '3.65', '2.24']",2021-09-17
Everton,Burnley,Premier League,3:1,"['1.77', '3.50', '5.23']",2021-09-13
Leeds,Liverpool,Premier League,0:3,"['4.83', '4.30', '1.65']",2021-09-12
Watford,Wolves,Premier League,0:2,"['3.57', '3.16', '2.23']",2021-09-11
Southampton,West Ham,Premier League,0:0,"['3.05', '3.51', '2.32']",2021-09-11
Manchester Utd,Newcastle,Premier League,4:1,"['1.19', '7.34', '15.52']",2021-09-11
Leicester,Manchester City,Premier League,0:1,"['5.52', '3.98', '1.63']",2021-09-11
Crystal Palace,Tottenham,Premier League,3:0,"['3.91', '3.30', '2.05']",2021-09-11
Chelsea,Aston Villa,Premier League,3:0,"['1.33', '5.28', '9.50']",2021-09-11
Brentford,Brighton,Premier League,0:1,"['3.04', '3.00', '2.63']",2021-09-11
